172.28.8.2 172.27.11.224 - - [24/Apr/2025:23:59:59 -0400] "POST /SOMebkOnline.APIS//paramConfig HTTP/1.1" 200 127 82420us 82ms 0s
172.28.8.2 172.27.8.81 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05510 HTTP/1.1" 200 4 15713us 15ms 0s
172.29.1.48 10.6.12.170 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01TE1SEC2B-10-08030 HTTP/1.1" 200 4 31032us 31ms 0s
172.28.8.2 172.27.0.25 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--22902 HTTP/1.1" 200 4 31032us 31ms 0s
172.28.8.2 172.27.1.170 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05629 HTTP/1.1" 200 4 37958us 37ms 0s
172.28.8.2 172.27.13.159 - - [25/Apr/2025:00:00:00 -0400] "POST /SOMabtOnline.APIS//paramGraylist HTTP/1.1" 200 67 77874us 77ms 0s
172.28.8.2 172.27.8.186 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06390 HTTP/1.1" 200 4 31317us 31ms 0s
172.28.8.2 172.27.11.18 - - [25/Apr/2025:00:00:00 -0400] "POST /SOMebkOnline.APIS//paramHotlist/Delta HTTP/1.1" 200 66 93714us 93ms 0s
172.28.8.2 172.27.2.201 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06345 HTTP/1.1" 200 4 31253us 31ms 0s
172.28.8.2 172.27.7.55 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--21194 HTTP/1.1" 200 4 31443us 31ms 0s
172.28.8.2 172.27.0.73 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05593 HTTP/1.1" 200 4 31045us 31ms 0s
172.28.8.2 172.27.0.141 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--21042 HTTP/1.1" 200 4 31247us 31ms 0s
172.29.1.48 10.6.12.123 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01TE1SEC-1-7--08007 HTTP/1.1" 200 4 46926us 46ms 0s
172.28.8.2 172.27.3.64 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--22107 HTTP/1.1" 200 4 31253us 31ms 0s
172.28.8.2 172.27.7.26 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--19182 HTTP/1.1" 200 4 31253us 31ms 0s
172.28.8.2 172.27.9.129 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VM1-BERAVE--08611 HTTP/1.1" 200 4 31187us 31ms 0s
172.28.8.2 172.27.1.250 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05661 HTTP/1.1" 200 4 46958us 46ms 0s
172.28.8.2 172.27.10.132 - - [25/Apr/2025:00:00:00 -0400] "POST /SOMebkOnline.APIS//paramHotlist/Delta HTTP/1.1" 200 66 203204us 203ms 0s
172.28.8.2 172.27.1.57 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VM1-NORFST--08533 HTTP/1.1" 200 4 46894us 46ms 0s
172.28.8.2 172.27.3.18 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMebkOnline.APIS//ticketing/check?applicationId=F0544E4D505484000100000000000000 HTTP/1.1" 200 - 0us 0ms 0s
172.28.8.2 172.27.1.85 - - [25/Apr/2025:00:00:00 -0400] "POST /SOMebkOnline.APIS//paramHotlist/Delta HTTP/1.1" 200 66 93620us 93ms 0s
172.28.8.2 172.27.7.172 - - [25/Apr/2025:00:00:00 -0400] "POST /SOMebkOnline.APIS//paramConfig HTTP/1.1" 200 127 140533us 140ms 0s
172.28.8.2 172.27.13.159 - - [25/Apr/2025:00:00:00 -0400] "POST /SOMebkOnline.APIS//paramConfig HTTP/1.1" 200 127 140450us 140ms 0s
172.28.8.2 172.27.8.138 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMebkOnline.APIS//isalive HTTP/1.1" 200 - 0us 0ms 0s
172.28.8.2 172.27.11.18 - - [25/Apr/2025:00:00:00 -0400] "POST /SOMebkOnline.APIS//paramHotlist/Delta HTTP/1.1" 200 50906 109390us 109ms 0s
172.31.19.52 - - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check HTTP/1.1" 200 4 15672us 15ms 0s
172.28.8.2 172.27.3.66 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--18039 HTTP/1.1" 200 4 48525us 48ms 0s
172.28.8.2 172.27.12.200 - - [25/Apr/2025:00:00:00 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06311 HTTP/1.1" 200 4 31111us 31ms 0s
172.28.8.2 172.27.3.147 - - [25/Apr/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06141 HTTP/1.1" 200 4 37335us 37ms 0s
172.28.8.2 172.27.10.45 - - [25/Apr/2025:00:00:00 -0400] "POST /SOMebkOnline.APIS//paramConfig HTTP/1.1" 200 127 130953us 130ms 0s
172.28.8.2 172.27.8.138 - - [25/Apr/2025:00:00:01 -0400] "GET /SOMebkOnline.APIS//ticketing/check?applicationId=F0544E4D505484000100000000000000 HTTP/1.1" 200 - 79592us 79ms 0s
172.28.8.2 172.27.5.188 - - [25/Apr/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--18101 HTTP/1.1" 200 4 62479us 62ms 0s
172.28.8.2 172.27.8.174 - - [25/Apr/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--21168 HTTP/1.1" 200 4 108865us 108ms 0s
172.28.8.2 172.27.10.132 - - [25/Apr/2025:00:00:00 -0400] "POST /SOMebkOnline.APIS//paramHotlist/Delta HTTP/1.1" 200 70094 271535us 271ms 0s
172.28.8.2 172.27.11.143 - - [25/Apr/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--17104 HTTP/1.1" 200 4 31523us 31ms 0s
172.28.8.2 172.27.9.119 - - [25/Apr/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VM1-SILVLK--08571 HTTP/1.1" 200 4 31009us 31ms 0s
172.28.8.2 172.27.2.68 - - [25/Apr/2025:00:00:01 -0400] "POST /SOMabtOnline.APIS//paramGraylist HTTP/1.1" 200 67 83622us 83ms 0s
172.28.8.2 172.27.6.249 - - [25/Apr/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--21190 HTTP/1.1" 200 4 46880us 46ms 0s
172.28.8.2 172.27.13.79 - - [25/Apr/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06404 HTTP/1.1" 200 4 31247us 31ms 0s
172.28.8.2 172.27.1.187 - - [25/Apr/2025:00:00:01 -0400] "POST /SOMebkOnline.APIS//paramConfig HTTP/1.1" 200 127 109313us 109ms 0s
172.28.8.2 172.27.10.247 - - [25/Apr/2025:00:00:01 -0400] "POST /SOMabtOnline.APIS//paramGraylist HTTP/1.1" 200 67 93930us 93ms 0s
172.28.8.2 172.27.9.209 - - [25/Apr/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VM1-45THST--08673 HTTP/1.1" 200 4 31128us 31ms 0s
172.28.8.2 172.27.13.41 - - [25/Apr/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05948 HTTP/1.1" 200 4 31396us 31ms 0s
172.28.8.2 172.27.13.45 - - [25/Apr/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06442 HTTP/1.1" 200 4 31179us 31ms 0s
172.28.8.2 172.27.0.160 - - [25/Apr/2025:00:00:01 -0400] "GET /SOMebkOnline.APIS//ticketing/check?applicationId=F0544E4D505484000100000000000000 HTTP/1.1" 200 - 15666us 15ms 0s
172.29.1.48 10.6.12.164 - - [25/Apr/2025:00:00:01 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01TE1SEC-2B-7-08027 HTTP/1.1" 200 4 31242us 31ms 0s
172.28.8.2 172.27.1.158 - - [25/Apr/2025:00:00:02 -0400] "POST /SOMabtOnline.APIS//paramGraylist HTTP/1.1" 200 67 63636us 63ms 0s
172.28.8.2 172.27.4.211 - - [25/Apr/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--19117 HTTP/1.1" 200 4 47004us 47ms 0s
172.28.8.2 172.27.11.200 - - [25/Apr/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05408 HTTP/1.1" 200 4 15855us 15ms 0s
172.28.8.2 172.27.6.184 - - [25/Apr/2025:00:00:02 -0400] "GET /SOMebkOnline.APIS//isalive HTTP/1.1" 200 - 0us 0ms 0s
172.28.8.2 172.27.10.27 - - [25/Apr/2025:00:00:02 -0400] "POST /SOMabtOnline.APIS//paramGraylist HTTP/1.1" 200 67 78032us 78ms 0s
172.28.8.2 172.27.2.112 - - [25/Apr/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05595 HTTP/1.1" 200 4 15737us 15ms 0s
172.28.8.2 172.27.4.211 - - [25/Apr/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--19117 HTTP/1.1" 200 4 31059us 31ms 0s
172.28.8.2 172.27.1.158 - - [25/Apr/2025:00:00:02 -0400] "POST /SOMebkOnline.APIS//paramConfig HTTP/1.1" 200 127 159048us 159ms 0s
172.28.8.2 172.27.4.149 - - [25/Apr/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--21258 HTTP/1.1" 200 4 15606us 15ms 0s
172.28.8.2 172.27.10.198 - - [25/Apr/2025:00:00:02 -0400] "POST /SOMebkOnline.APIS//paramConfig HTTP/1.1" 200 127 109414us 109ms 0s
172.28.8.2 172.27.1.164 - - [25/Apr/2025:00:00:02 -0400] "GET /SOMebkOnline.APIS//isalive HTTP/1.1" 200 - 15494us 15ms 0s
172.28.8.2 172.27.6.103 - - [25/Apr/2025:00:00:02 -0400] "GET /SOMebkOnline.APIS//isalive HTTP/1.1" 200 - 0us 0ms 0s
172.28.8.2 172.27.1.190 - - [25/Apr/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05925 HTTP/1.1" 200 4 46819us 46ms 0s
172.29.1.48 10.20.32.31 - - [25/Apr/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VM1-NEWARK--08504 HTTP/1.1" 200 4 31468us 31ms 0s
172.28.8.2 172.27.2.59 - - [25/Apr/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05521 HTTP/1.1" 200 4 32387us 32ms 0s
172.28.8.2 172.27.0.220 - - [25/Apr/2025:00:00:02 -0400] "POST /SOMebkOnline.APIS//paramHotlist/Delta HTTP/1.1" 200 66 268498us 268ms 0s
172.28.8.2 172.27.1.209 - - [25/Apr/2025:00:00:02 -0400] "GET /SOMebkOnline.APIS//isalive HTTP/1.1" 200 - 15544us 15ms 0s
172.28.8.2 172.27.6.103 - - [25/Apr/2025:00:00:02 -0400] "GET /SOMebkOnline.APIS//ticketing/check?applicationId=F0544E4D505484000100000000000000 HTTP/1.1" 200 - 0us 0ms 0s
172.29.1.48 10.6.12.116 - - [25/Apr/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01TE1SEC-1-3--08003 HTTP/1.1" 200 4 46737us 46ms 0s
172.28.8.2 172.27.1.225 - - [25/Apr/2025:00:00:02 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--20122 HTTP/1.1" 200 4 15653us 15ms 0s
172.28.8.2 172.27.10.26 - - [25/Apr/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--20878 HTTP/1.1" 200 4 46969us 46ms 0s
172.28.8.2 172.27.4.31 - - [25/Apr/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05772 HTTP/1.1" 200 4 31362us 31ms 0s
172.28.8.2 172.27.1.231 - - [25/Apr/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05379 HTTP/1.1" 200 4 15604us 15ms 0s
172.28.8.2 172.27.7.203 - - [25/Apr/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06245 HTTP/1.1" 200 4 31367us 31ms 0s
172.28.8.2 172.27.0.220 - - [25/Apr/2025:00:00:03 -0400] "POST /SOMebkOnline.APIS//paramHotlist/Delta HTTP/1.1" 200 56892 110991us 110ms 0s
172.28.8.2 172.27.12.88 - - [25/Apr/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06069 HTTP/1.1" 200 4 15473us 15ms 0s
